1.2903e+09,43,1,4,1,1,1,23,22,6.4965e+05
3.6562e+09,26,1,4,1,0,1,23,17,3.7603e+05
3.2053e+09,20,2,4,2,0,1,23,17,3.4977e+05
7.9706e+09,34,2,4,1,0,1,23,19,4.2277e+05
2.9959e+09,39,2,3,2,0,1,23,22,5.5695e+05
4.0261e+09,22,1,4,2,0,1,23,17,4.2612e+05
5.6409e+09,29,2,4,1,0,1,23,22,2.6781e+05
1.3937e+09,18,1,3,2,0,1,23,16,3.8233e+05
3.4325e+09,-999,-999,4,2,0,1,23,22,8.6704e+05
9.6588e+09,24,1,4,1,0,1,23,19,3.5944e+05
8.1264e+09,28,2,4,2,0,1,23,19,4.4148e+05
7.6516e+09,42,1,5,2,0,1,23,22,9.342e+05
1.6327e+09,21,2,4,2,0,1,22,16,2.9115e+05
4.9535e+09,53,2,4,2,0,1,23,19,3.9275e+05
8.8347e+09,38,2,4,1,0,1,23,19,3.5287e+05
9.1075e+09,21,1,4,2,1,1,23,23,3.7725e+05
7.9466e+09,18,2,3,2,0,1,22,18,3.8715e+05
1.1565e+09,19,1,4,2,0,1,23,19,3.1273e+05
8.2613e+09,-999,-999,-999,2,0,1,23,20,5.2485e+05
2.0465e+09,43,1,4,1,0,1,23,16,3.4415e+05
7.09e+09,26,1,4,2,0,1,23,16,6.607e+05
2.0733e+09,26,1,3,2,0,1,22,18,4.2546e+05
2.9415e+09,45,2,4,1,0,1,23,19,5.5228e+05
8.0003e+09,20,2,4,2,0,1,23,22,3.5868e+05
8.3009e+09,20,1,4,2,0,1,23,20,3.7747e+05
6.317e+09,24,1,4,1,0,1,22,17,3.235e+05
1.9712e+09,20,1,4,2,0,1,23,22,3.6288e+05
2.7213e+09,-999,-999,-999,2,0,1,23,21,3.0639e+05
2.2841e+09,24,2,4,1,0,1,23,21,3.9972e+05
9.3268e+09,32,2,3,1,0,1,23,21,3.9851e+05
4.4768e+09,29,1,5,1,1,1,23,19,3.428e+05
6.2842e+09,16,2,3,2,0,1,23,19,3.3625e+05
3.9847e+09,43,2,3,1,0,1,23,16,2.6756e+05
7.0647e+09,31,2,4,1,0,1,23,16,3.404e+05
4.2913e+09,58,1,4,1,0,1,23,15,4.7988e+05
2.8333e+09,49,2,4,2,0,1,23,22,4.2685e+05
1.9465e+09,18,2,4,2,0,1,23,18,3.1406e+05
9.9712e+09,24,2,4,2,1,1,23,18,3.5484e+05
2.4625e+09,24,2,4,1,0,1,23,20,3.3107e+05
1.9732e+09,21,1,3,2,0,1,23,14,3.9777e+05
1.21e+09,33,1,5,1,0,1,23,22,3.3534e+05
6.1242e+09,29,1,4,2,0,1,23,13,3.7485e+05
1.9173e+09,24,1,4,2,0,1,23,17,4.2408e+05
6.5707e+09,38,2,4,2,0,1,23,19,4.5013e+05
9.32e+09,56,2,3,2,0,1,23,18,3.3987e+05
3.2747e+09,41,2,4,1,0,1,23,20,3.4898e+05
5.607e+09,19,1,3,2,0,1,23,19,6.4128e+05
4.7766e+09,23,2,4,2,0,1,23,18,2.6184e+05
8.2488e+09,35,2,-999,1,0,1,23,21,3.1567e+05
8.6453e+09,26,1,4,2,0,1,23,12,5.3639e+05
2.161e+09,26,2,4,1,0,1,23,20,3.6301e+05
2.1597e+09,29,2,4,2,0,1,23,20,2.5652e+05
5.3588e+09,19,2,4,2,0,1,22,18,5.2473e+05
6.7716e+09,20,2,4,2,0,1,23,18,2.4786e+05
5.2714e+09,28,1,5,2,0,1,23,15,2.9557e+05
8.9622e+09,20,2,3,2,0,1,21,21,2.8442e+05
2.8411e+09,-999,-999,-999,2,0,1,23,19,2.7005e+05
9.2111e+09,23,2,3,2,0,1,23,18,2.5e+05
8.39e+09,-999,-999,-999,2,0,1,23,21,4.2313e+05
